Time,slope,intercept
2022-07-26 14:00,-0.9641155061731179,2.484115506173118
2022-07-26 14:05,-0.9431564734302232,2.4431564734302227
2022-07-26 14:10,-0.9641155061731179,2.504115506173118
2022-07-26 14:15,-1.0060335716589053,2.5560335716589058
2022-07-26 14:20,-0.9641155061731179,2.504115506173118
2022-07-26 14:25,-0.9641155061731169,2.5141155061731166
2022-07-26 14:30,-0.9850745389160117,2.565074538916013
2022-07-26 14:35,-0.9641155061731175,2.4941155061731175
2022-07-26 14:40,-0.9641155061731179,2.484115506173118
2022-07-26 14:45,-0.9641155061731175,2.4941155061731175
2022-07-26 14:50,-0.9850745389160117,2.5450745389160123
2022-07-26 14:55,-0.943156473430223,2.5031564734302227
2022-07-26 15:00,-0.9850745389160118,2.5550745389160125
2022-07-26 15:05,-0.964115506173117,2.5241155061731173
2022-07-26 15:10,-0.9850745389160115,2.505074538916012
2022-07-26 15:15,-0.9850745389160118,2.5350745389160125
2022-07-26 15:20,-0.9641155061731179,2.504115506173118
2022-07-26 15:25,-0.9641155061731169,2.5141155061731166
2022-07-26 15:30,-0.9850745389160117,2.5450745389160123
2022-07-26 15:35,-0.943156473430223,2.5031564734302227
2022-07-26 15:40,-0.9221974406873296,2.44219744068733
2022-07-26 15:45,-0.9431564734302234,2.4531564734302234
2022-07-26 15:50,-0.9641155061731175,2.4941155061731175
